epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,381.417,0.72435,2.14545,1.0476,0.00348,1,0.93099,0.7267,0.67542,2.86462,1.06138,0.0004,0.0004,0.0004
2,606.69,0.75308,1.22545,1.06181,0.98864,0.89753,0.95761,0.7879,0.64816,2.3347,0.98661,0.00079294,0.00079294,0.00079294
3,832.031,0.75997,1.09995,1.05045,0.9112,0.94845,0.95892,0.80056,0.6481,2.10868,1.00952,0.00115816,0.00115816,0.00115816
4,1045.38,0.82864,1.02271,1.08885,0.94902,0.76768,0.91748,0.69412,0.87341,2.25694,1.18008,0.00149566,0.00149566,0.00149566
5,1269.51,0.75031,0.91338,1.03062,0.01031,0.01031,0.01358,0.00434,2.26227,4.11539,2.70942,0.001736,0.001736,0.001736
6,1494.3,0.79843,0.91288,1.07067,0.91593,0.90722,0.94246,0.72035,0.79492,1.54879,1.11312,0.00167,0.00167,0.00167
7,1703.17,0.76189,0.80147,1.04797,0.95874,0.95819,0.98218,0.82934,0.63848,1.03343,0.98177,0.001604,0.001604,0.001604
8,1942.17,0.74215,0.76861,1.03974,0.95909,0.96677,0.96814,0.82487,0.59897,0.89474,0.99614,0.001538,0.001538,0.001538
9,2227.04,0.7512,0.70839,1.05266,1,0.92347,0.96038,0.84708,0.52219,0.80275,0.92993,0.001472,0.001472,0.001472
10,2510.95,0.73668,0.68727,1.04088,0.98736,0.96907,0.97444,0.86901,0.49608,0.73639,0.90638,0.001406,0.001406,0.001406
11,2815.53,0.71749,0.67585,1.03525,0.97724,0.96907,0.97199,0.8446,0.5116,0.75428,0.90953,0.00134,0.00134,0.00134
12,3133.71,0.68162,0.61617,1.02687,0.98792,0.96907,0.98047,0.87963,0.4627,0.61244,0.88898,0.001274,0.001274,0.001274
13,3394.03,0.65299,0.57842,1.01605,0.99999,0.96907,0.98808,0.84128,0.56468,0.55862,0.9408,0.001208,0.001208,0.001208
14,3611.06,0.65868,0.58087,1.01391,0.96654,0.96907,0.98929,0.87434,0.48287,0.58956,0.89473,0.001142,0.001142,0.001142
15,3849.76,0.66236,0.53215,1.00143,0.99914,0.96907,0.97839,0.88069,0.48093,0.50833,0.89381,0.001076,0.001076,0.001076
16,4051.05,0.6369,0.521,1.01447,0.97937,0.96907,0.98577,0.89244,0.46641,0.4717,0.89098,0.00101,0.00101,0.00101
17,4248.2,0.62186,0.4996,0.99132,0.99804,0.96907,0.98384,0.89979,0.43809,0.44252,0.87732,0.000944,0.000944,0.000944
18,26712.4,0.62017,0.47371,1.00288,0.99965,0.96907,0.98641,0.90577,0.42711,0.41374,0.87202,0.000878,0.000878,0.000878
19,26982.3,0.619,0.47417,0.9898,0.99963,0.96907,0.982,0.87833,0.46486,0.44641,0.88168,0.000812,0.000812,0.000812
20,27197.1,0.60071,0.44781,0.99015,0.99897,0.96907,0.98461,0.90077,0.41289,0.41227,0.86583,0.000746,0.000746,0.000746
21,27401.8,0.44048,0.46523,0.88072,0.99895,0.95876,0.96792,0.89045,0.42808,0.49049,0.87027,0.00068,0.00068,0.00068
22,27602.2,0.43501,0.44651,0.88583,1,0.96846,0.98497,0.90773,0.42511,0.40495,0.8692,0.000614,0.000614,0.000614
23,27811.6,0.41836,0.3946,0.86838,1,0.96803,0.98661,0.90753,0.41504,0.38013,0.864,0.000548,0.000548,0.000548
24,28012.9,0.43397,0.39671,0.88216,1,0.96861,0.98575,0.89876,0.42722,0.37323,0.86374,0.000482,0.000482,0.000482
25,28211.1,0.4052,0.37424,0.84705,0.98873,0.96907,0.98258,0.91299,0.37165,0.3526,0.84573,0.000416,0.000416,0.000416
26,28410,0.39067,0.35528,0.85211,0.99941,0.96907,0.98761,0.90756,0.38711,0.32707,0.85377,0.00035,0.00035,0.00035
27,28611.6,0.38141,0.33866,0.8524,0.99935,0.96907,0.98735,0.91831,0.37735,0.31094,0.85048,0.000284,0.000284,0.000284
28,28810.2,0.37285,0.33044,0.84303,0.9994,0.96907,0.98408,0.92274,0.38834,0.31504,0.8566,0.000218,0.000218,0.000218
29,29007.2,0.37462,0.32323,0.84161,0.9993,0.96907,0.98417,0.93246,0.3581,0.30806,0.84785,0.000152,0.000152,0.000152
30,29202.5,0.3619,0.31705,0.84366,0.99929,0.96907,0.98686,0.93252,0.35175,0.29815,0.84607,8.6e-05,8.6e-05,8.6e-05
