epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.801,0.70574,1.78937,1.03027,1,0.64921,0.96458,0.79188,0.61173,2.52526,0.9796,0.000648649,0.000648649,0.000648649
2,1012.79,0.76169,1.09482,1.03763,0.80962,0.65089,0.81209,0.64546,0.77717,2.33718,1.11576,0.00130229,0.00130229,0.00130229
3,2005.08,0.81136,1.02938,1.0599,0.96489,0.90533,0.95759,0.80511,0.64926,1.51321,0.99892,0.00194274,0.00194274,0.00194274
4,2718.11,0.75122,0.85154,1.04063,0.89189,0.92752,0.93774,0.75888,0.68962,1.22373,1.04137,0.0019406,0.0019406,0.0019406
5,3440.75,0.77248,0.76909,1.05769,0.85886,0.81657,0.88509,0.74358,0.63579,1.25091,0.97618,0.0019208,0.0019208,0.0019208
6,3966.33,0.75674,0.71699,1.05074,0.5624,0.57988,0.56758,0.40859,1.1216,1.75581,1.40746,0.001901,0.001901,0.001901
7,4338.25,0.75034,0.65743,1.03705,0.99476,0.9645,0.98062,0.83585,0.58617,0.65266,0.93158,0.0018812,0.0018812,0.0018812
8,4725.7,0.74493,0.61538,1.03922,0.98198,0.97041,0.98384,0.85189,0.53296,0.62514,0.91136,0.0018614,0.0018614,0.0018614
9,5087.2,0.75455,0.59618,1.03122,0.9574,0.93491,0.97611,0.85258,0.52969,0.81989,0.89632,0.0018416,0.0018416,0.0018416
10,5444.08,0.71359,0.53679,1.02562,0.9687,0.95266,0.97464,0.84929,0.52317,0.54679,0.91101,0.0018218,0.0018218,0.0018218
11,7612.03,0.70396,0.52673,1.01084,0.99397,0.97604,0.98395,0.85468,0.51479,0.45264,0.89532,0.001802,0.001802,0.001802
12,8058.67,0.66839,0.50569,1.00543,0.99071,0.97041,0.97807,0.87047,0.50782,0.48212,0.88692,0.0017822,0.0017822,0.0017822
13,8550.56,0.69833,0.49304,1.02647,0.99955,0.97633,0.98459,0.88515,0.4676,0.35877,0.87491,0.0017624,0.0017624,0.0017624
14,9045.38,0.70291,0.50822,1.01656,0.8632,0.63474,0.71814,0.54697,1.02164,1.2358,1.4747,0.0017426,0.0017426,0.0017426
15,9539.03,0.63478,0.43775,0.98612,0.99273,0.97633,0.98477,0.88964,0.44886,0.36929,0.87811,0.0017228,0.0017228,0.0017228
16,10048.3,0.6626,0.44414,0.98573,0.98639,0.97633,0.98469,0.89115,0.46192,0.34717,0.86694,0.001703,0.001703,0.001703
